id,per.capita,white.per.capita,black.per.capita,native.american.per.capita,asian.per.capita,pacific.islander.per.capita,other.per.capita,two.races.per.capita,hisp.per.capita,non.hisp.per.capita
18019050200,15285,15996,14211,N,-,-,-,N,10454,16093
18019050303,18207,17984,25191,N,N,-,N,3569,13092,18164
18019050304,19633,20896,18561,-,-,-,-,5513,4587,21048
18019050305,24875,26890,18055,-,-,-,-,N,21288,27158
18019050306,19128,20841,13965,-,-,-,-,8852,N,20950
18019050401,18997,19399,16009,-,-,-,-,N,-,19399
18019050403,17356,17182,18175,N,N,-,4820,N,10967,17432
18019050404,21040,21880,9534,16892,-,-,N,8236,29287,21748
18019050501,26027,27322,14530,N,-,-,N,-,N,27322
18019050503,17817,19388,21495,-,-,-,7608,-,7166,22701
18019050504,18076,18064,18441,-,N,-,7992,-,6453,18638
18019050603,24374,25068,24975,N,N,-,10865,N,8593,25674
18019050604,27581,29177,24972,N,N,-,N,7925,19053,29430
18019050605,26968,27618,34761,N,N,-,N,N,10941,28076
18019050606,33672,34055,37210,-,28752,-,-,-,-,34055
18019050701,28517,28396,37067,N,43901,-,20897,15160,23316,28377
18019050703,20960,20967,30818,-,N,-,-,14024,8833,21405
18019050704,26613,27338,-,-,8949,-,N,9681,N,27358
18019050801,29215,29179,-,-,-,-,-,30490,N,29281
18019050803,28883,29002,-,-,-,-,-,N,30272,28983
18019050804,23201,23201,-,-,-,-,-,-,N,23361
18019050902,20850,21538,N,-,N,-,10603,7121,10984,21721
18019050903,23540,26486,25767,-,-,-,1290,N,1796,26486
18019050904,24652,23639,85170,-,-,-,30052,N,18093,23778
18019051000,22670,22806,-,-,-,-,N,21409,N,22806
18021040100,18472,18750,N,N,-,-,N,-,6885,18903
18021040200,17624,17770,-,-,-,-,-,N,N,17782
18021040300,21676,21802,-,17214,N,-,-,13839,N,21801
18021040400,25203,25331,-,N,-,-,-,N,16319,25458
18021040500,20579,20967,-,N,-,-,N,-,3717,20960
18021040600,22247,22322,N,-,-,N,N,16797,N,22322
18023950100,24341,24301,-,N,23907,-,N,N,16311,24439
18023950200,24801,24890,-,N,-,-,N,N,25629,24763
18023950300,24025,24483,N,N,-,-,21734,11658,12705,24514
18023950400,25121,25236,-,-,-,-,21167,N,22974,25219
18023950500,15987,16778,-,-,-,-,7730,N,7136,19894
18023950600,14856,15631,N,N,-,-,-,2571,7969,16762
18023950700,24147,25552,N,N,-,-,11202,-,10966,26229
18023950800,14163,15409,N,8095,-,-,9086,N,9745,16830
18025951900,16928,16868,N,N,-,-,N,N,N,16939
18025952000,18073,18050,-,-,-,-,-,22243,N,18273
18025952100,21317,22214,1335,14589,-,-,-,-,-,22214
18027954300,21210,21168,-,N,-,N,-,N,21667,21158
18027954400,22186,22460,-,N,N,-,N,-,N,22341
18027954500,15602,15620,-,-,N,-,-,-,N,15612
18027954600,25533,24520,N,-,N,-,-,61235,-,24520
18027954700,18545,18522,N,6256,-,46044,20391,N,12151,20788
18027954800,17702,18398,-,-,-,-,5251,-,8478,18794
18027954900,25580,26197,26735,-,27021,-,N,-,6136,26372
18029080101,27225,27395,-,-,-,-,-,N,-,27395
18029080103,32459,32706,N,-,N,-,N,6410,11059,33307
18029080104,29849,30480,-,-,N,-,N,-,17142,30603
18029080201,23782,23841,-,-,N,-,-,-,N,23749
18029080202,27838,28189,N,-,N,-,-,N,-,28189
18029080300,19787,19702,16974,-,-,-,-,37488,-,19702
18029080400,23965,24416,-,-,N,-,N,-,N,24790
18029080500,18954,18984,-,-,N,-,-,N,-,18984
18029080600,24384,24473,-,16996,-,-,N,5344,N,24473
18029080700,21574,21240,-,-,-,-,N,33834,N,21320
18031969000,26816,26081,411,-,55832,-,N,-,26346,26236
18031969100,23721,23619,-,-,42277,-,N,-,N,23619
18031969200,18698,18649,-,-,26206,-,-,-,N,18684
18031969300,18981,18950,-,-,N,-,-,-,N,19058
18031969400,26388,26414,-,N,-,-,N,-,N,26795
18031969500,19616,20164,N,-,-,-,-,2923,-,20164
18033020100,21421,21618,-,-,-,-,N,13866,13698,21670
18033020200,18563,18922,-,31293,-,-,N,6635,8525,18953
18033020300,17989,17958,-,-,-,-,-,18828,11096,18245
18033020400,25205,25225,15610,-,-,-,-,N,17860,25332
18033020500,20013,20151,N,25745,N,-,N,5078,5052,20761
18033020601,21713,21603,-,-,N,-,N,N,N,21676
18033020602,20241,20361,-,-,-,-,10164,22669,9440,20437
18033020700,26511,26518,-,N,N,-,-,10829,19617,26850
18033020800,24262,25068,17146,N,-,-,-,1834,16482,25086
18035000300,14541,10560,18167,-,-,-,-,5785,-,10560
18035000400,10913,11965,5686,-,-,-,22918,N,36500,12017
18035000500,14781,15754,-,N,N,-,N,3560,N,16026
18035000600,12460,13397,7302,N,N,-,-,14928,N,13234
18035000700,13359,12689,37013,N,14740,-,-,N,3910,12836
18035000800,20030,20277,17589,-,N,-,-,11141,3477,20924
18035000902,3062,3074,3829,-,2022,N,2081,3147,1379,3115
18035000903,17559,18289,7150,-,N,-,N,5219,N,18332
18035000904,30932,31821,20862,N,30365,-,N,12600,12997,32017
18035001000,15024,15196,9898,N,N,-,N,N,9594,15231
18035001100,14624,15205,21262,N,-,-,N,9491,N,15399
18035001200,12307,10151,13456,N,-,-,-,11150,-,10151
18035001300,17515,17830,15888,-,17153,-,31241,9129,17814,18021
18035001400,17524,17903,N,11635,-,-,-,14952,-,17903
18035001500,16904,16723,26893,-,-,-,-,-,22261,16567
18035001600,13120,14659,4912,N,N,-,-,2806,-,14659
18035001700,13263,13804,5728,N,N,-,-,N,-,13804
18035002000,16312,17114,11066,N,-,-,7456,N,7031,17110
18035002100,18448,21513,7091,N,N,-,2970,8582,N,21513
18035002200,23340,23236,N,-,N,-,-,-,N,23249
18035002301,24807,24596,N,7184,-,-,N,15648,N,24724
18035002302,22743,22831,N,-,-,-,-,26738,N,22936
18035002401,24049,24033,-,-,N,-,-,21630,12967,24061
18035002402,34179,34574,39658,-,29406,-,-,27921,14914,35206
18035002500,25840,25882,-,-,-,-,-,N,-,25882
18035002601,26397,26144,31908,-,37985,-,N,21021,33318,25967
18035002602,21981,22292,N,-,-,-,7567,-,2251,22525
18035002700,23731,23719,N,27634,-,-,-,-,N,24156
18035002800,13254,14713,8863,N,-,-,-,12372,N,14392
18035002900,26783,27842,20742,17687,8854,-,-,N,16703,27877
18037953200,27470,27501,N,-,-,-,-,-,48,28384
18037953300,26719,28892,4844,-,35476,-,10524,26607,16705,29629
18037953400,27054,27307,-,-,N,-,N,N,33153,26919
18037953500,29400,29400,-,-,-,-,-,-,-,29483
18037953600,21408,21408,-,-,-,-,-,-,N,21626
18037953700,24049,24068,-,-,-,-,-,N,23613,24070
18037953800,16916,17775,-,-,-,-,3054,-,8167,19370
18039000100,18856,20165,40711,-,N,-,12388,N,14843,19921
18039000200,16645,17315,20448,N,-,-,10237,7694,8294,20315
18039000301,23871,25912,N,N,6966,-,13872,N,16273,26158
18039000302,23044,24839,5670,-,3037,-,12148,5210,9110,26329
18039000400,27105,29620,N,N,10507,-,6744,10007,10368,31695
18039000501,18809,22170,15237,N,8184,-,8069,7956,8839,24495
18039000502,21563,22657,32004,-,19315,N,18397,N,14471,24565
18039000600,29368,30366,-,-,27187,-,16234,4081,13144,30588
18039000700,25021,25201,15162,-,121880,-,11155,13769,7311,26947
18039000801,24243,24154,N,-,-,-,-,-,15300,24361
18039000802,24073,25013,N,20919,N,14688,N,2645,12665,25080
18039000900,20870,21001,-,20360,-,-,20241,-,18156,21006
18039001000,23084,23534,N,N,-,-,N,-,N,23528
18039001100,20223,20445,-,N,N,-,21323,N,10192,20818
18039001200,19609,19769,11061,-,-,-,N,N,19745,19822
18039001300,26898,28102,11641,N,16704,-,16461,N,13813,28591
18039001400,23398,23636,31725,13107,16406,N,-,14545,15716,23852
18039001501,20359,22779,9994,3192,16397,-,15897,3868,13554,23046
18039001502,24483,24613,27234,N,N,-,N,N,7053,25568
18039001601,17305,17913,19121,N,N,-,12164,7623,8246,19404
18039001602,26765,28911,18499,-,N,-,22091,7529,14088,29743
18039001701,24100,24430,N,-,29326,-,-,-,2587,26199
18039001702,20226,21442,23940,-,N,-,6969,4594,12441,21477
18039001801,24468,25857,N,-,31939,-,N,-,N,25930
18039001802,35781,37752,25356,N,-,-,N,5596,16089,38769
18039001901,17844,20324,12911,N,N,-,11950,2001,9931,23377
18039001902,28631,31545,5484,-,34289,-,19827,N,16111,32784
18039002000,26657,27163,25392,68328,N,-,9241,N,8119,28033
18039002101,29366,30053,29376,-,-,-,N,-,11508,30342
18039002102,12967,14454,10332,N,N,-,8733,N,9210,16214
18039002200,15463,17516,14511,17882,16405,-,12587,N,11463,21585
18039002300,11331,12542,10780,21222,8181,-,15170,N,8878,15538
18039002400,17318,18688,6862,18985,-,-,10832,N,11303,18850
18039002600,11309,14060,8939,N,-,-,10203,10037,9924,15396
18039002700,11960,15436,9492,30613,-,-,5955,3369,10498,14873
18039002900,23409,24371,10293,-,-,-,9091,29485,9991,27049
18041954000,22968,23066,-,N,-,-,-,-,-,23066
18041954100,15360,15169,N,-,N,-,15493,1524,14450,15205
18041954200,25528,24604,8498,-,N,-,-,-,4330,25035
18041954300,17745,17815,14975,-,-,-,-,-,-,17815
18041954400,14079,14309,20615,-,-,-,-,7038,-,14309
18041954500,19447,19755,13441,-,N,-,10723,6941,10723,19755
18041954600,18727,18814,-,-,-,-,-,N,-,18814
18043070200,12717,14069,3105,-,-,-,N,N,4472,15444
18043070301,27178,27155,46122,-,-,-,N,18637,31607,26837
18043070302,20931,22265,20834,-,N,-,N,8487,N,22197
18043070400,19954,21623,14849,N,N,-,-,502,N,21939
18043070500,16045,16951,10506,-,-,-,N,6585,6640,16974
18043070600,29774,29101,-,-,-,-,69638,N,69638,29101
18043070700,15720,15966,17500,-,9167,-,-,3627,8750,15966
18043070801,11957,14731,6175,N,-,-,N,N,9087,15029
18043070802,22838,22796,36517,-,9632,-,-,N,12317,23416
18043070901,26829,27683,21305,-,-,-,-,10532,10567,28480
18043070902,16144,17825,-,-,-,-,-,N,10635,18236
18043071003,36008,33986,49747,33382,150216,-,-,N,16926,34107
18043071004,27585,27958,3385,-,N,-,-,N,N,27960
18043071005,33703,33284,N,-,46752,-,-,N,19289,33533
18043071006,22390,22646,21958,-,N,-,N,-,9330,23420
18043071007,29140,29487,24247,-,-,N,35200,18248,24178,29833
18043071101,26638,26290,-,-,-,-,108204,N,N,26243
18043071103,36516,36655,-,N,-,-,-,N,-,36655
18043071104,27373,27507,-,-,-,-,-,N,-,27507
18043071200,26869,26813,N,-,-,-,-,-,-,26813
18045957600,20387,20440,-,-,40939,-,-,N,-,20440
18045957700,21919,21487,-,-,-,-,-,N,-,21487
18045957800,22950,23197,-,-,N,-,-,15007,-,23197
18045957900,21063,21483,-,-,N,-,13155,2875,16689,21477
18045958000,18581,19226,-,N,12871,-,14669,-,9814,19231
18047960100,29270,29428,-,-,N,-,N,N,15657,29569
18047969600,24058,24009,-,-,N,-,-,N,N,23953
18047969700,18165,18199,-,N,-,-,-,-,-,18199
18047969800,22642,22613,-,-,-,-,-,N,N,22703
18047969900,18061,18775,-,-,-,-,-,5594,-,18775
18049953000,24977,25028,-,-,N,-,-,N,N,24764
