Id,Id2,geog,hisp,non.hisp,mex,pue.ric,cub,dom,cent.amer,cos.ric,guate,hondu,nicar,pana,salva,other.cent.amer,sou.amer,argen,boli,chil,colo,ecua,parag,peru,urug,vene,other.sou.amer,other.hisp,spaniard,spanish,span.amer,all.other
1400000US18035000902,18035000902,"Census Tract 9.02, Delaware County, Indiana",181,6682,112,24,8,2,8,0,3,1,0,1,2,1,8,1,0,0,2,0,0,2,0,3,0,19,1,3,1,14
1400000US18035000903,18035000903,"Census Tract 9.03, Delaware County, Indiana",75,2711,37,11,1,4,8,0,0,0,0,8,0,0,4,0,1,0,0,0,1,0,0,2,0,10,1,0,0,9
1400000US18035000904,18035000904,"Census Tract 9.04, Delaware County, Indiana",73,5419,45,2,2,1,6,0,0,2,3,1,0,0,12,3,0,7,0,0,0,0,2,0,0,5,1,2,0,2
1400000US18035001000,18035001000,"Census Tract 10, Delaware County, Indiana",104,4417,65,16,2,1,3,0,2,0,0,0,1,0,12,0,3,1,0,0,0,5,0,3,0,5,3,0,0,2
1400000US18035001100,18035001100,"Census Tract 11, Delaware County, Indiana",100,3042,78,7,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,6,0,2
1400000US18035001200,18035001200,"Census Tract 12, Delaware County, Indiana",56,2474,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,15
1400000US18035001300,18035001300,"Census Tract 13, Delaware County, Indiana",63,3124,53,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
1400000US18035001400,18035001400,"Census Tract 14, Delaware County, Indiana",42,1970,36,0,0,0,5,3,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1400000US18035001500,18035001500,"Census Tract 15, Delaware County, Indiana",52,2707,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
1400000US18035001600,18035001600,"Census Tract 16, Delaware County, Indiana",51,2365,40,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,4
1400000US18035001700,18035001700,"Census Tract 17, Delaware County, Indiana",8,1343,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1400000US18035002000,18035002000,"Census Tract 20, Delaware County, Indiana",99,5159,66,4,3,0,6,0,0,3,0,2,1,0,4,1,0,2,0,1,0,0,0,0,0,16,1,2,0,13
1400000US18035002100,18035002100,"Census Tract 21, Delaware County, Indiana",42,2756,27,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,5
1400000US18035002200,18035002200,"Census Tract 22, Delaware County, Indiana",50,6146,30,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,9,0,4,0,5
1400000US18035002301,18035002301,"Census Tract 23.01, Delaware County, Indiana",34,3695,27,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US18035002302,18035002302,"Census Tract 23.02, Delaware County, Indiana",23,4011,14,2,1,0,4,0,0,3,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1400000US18035002401,18035002401,"Census Tract 24.01, Delaware County, Indiana",101,5339,78,7,0,1,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,11,0,1,0,10
1400000US18035002402,18035002402,"Census Tract 24.02, Delaware County, Indiana",131,8531,85,1,2,0,6,0,2,0,3,1,0,0,10,0,4,4,0,0,0,2,0,0,0,27,9,7,0,11
1400000US18035002500,18035002500,"Census Tract 25, Delaware County, Indiana",77,5327,59,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,6
1400000US18035002601,18035002601,"Census Tract 26.01, Delaware County, Indiana",78,7128,46,6,0,0,11,0,7,0,0,4,0,0,8,4,0,0,4,0,0,0,0,0,0,7,1,0,0,6
1400000US18035002602,18035002602,"Census Tract 26.02, Delaware County, Indiana",40,2798,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2
1400000US18035002700,18035002700,"Census Tract 27, Delaware County, Indiana",40,4923,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,5
1400000US18035002800,18035002800,"Census Tract 28, Delaware County, Indiana",75,2368,49,2,0,0,4,0,3,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,18,1,0,0,17
1400000US18035002900,18035002900,"Census Tract 29, Delaware County, Indiana",105,4810,54,9,4,8,3,0,0,0,0,2,1,0,5,1,0,0,1,0,0,2,0,1,0,22,1,2,0,19
1400000US18037953200,18037953200,"Census Tract 9532, Dubois County, Indiana",93,6310,18,5,14,0,38,0,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0,12
1400000US18037953300,18037953300,"Census Tract 9533, Dubois County, Indiana",717,6447,377,17,5,0,200,0,15,13,0,0,172,0,5,0,0,1,4,0,0,0,0,0,0,113,0,18,0,95
1400000US18037953400,18037953400,"Census Tract 9534, Dubois County, Indiana",386,5001,199,6,0,1,133,0,14,6,0,1,112,0,1,1,0,0,0,0,0,0,0,0,0,46,0,0,0,46
1400000US18037953500,18037953500,"Census Tract 9535, Dubois County, Indiana",82,4945,30,4,0,0,31,0,2,8,0,0,21,0,2,0,1,1,0,0,0,0,0,0,0,15,0,0,0,15
1400000US18037953600,18037953600,"Census Tract 9536, Dubois County, Indiana",53,5102,40,1,1,0,7,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3
1400000US18037953700,18037953700,"Census Tract 9537, Dubois County, Indiana",117,7141,73,1,2,0,28,0,3,4,0,0,21,0,9,0,0,0,5,0,0,4,0,0,0,4,0,2,0,2
1400000US18037953800,18037953800,"Census Tract 9538, Dubois County, Indiana",1073,4422,475,16,2,0,495,0,21,9,0,3,462,0,19,0,0,0,3,3,0,12,0,1,0,66,2,3,0,61
1400000US18039000100,18039000100,"Census Tract 1, Elkhart County, Indiana",955,2247,817,37,1,0,64,6,12,20,0,1,25,0,10,1,0,0,3,2,0,0,1,3,0,26,3,0,0,23
1400000US18039000200,18039000200,"Census Tract 2, Elkhart County, Indiana",2545,4912,2337,67,1,8,56,2,6,26,0,0,22,0,14,0,6,0,5,3,0,0,0,0,0,62,0,11,0,51
1400000US18039000301,18039000301,"Census Tract 3.01, Elkhart County, Indiana",967,3005,791,42,0,3,45,0,8,12,1,0,21,3,28,0,4,0,4,2,1,5,6,6,0,58,3,12,0,43
1400000US18039000302,18039000302,"Census Tract 3.02, Elkhart County, Indiana",909,5120,729,49,7,1,34,0,17,13,0,0,4,0,22,3,6,3,2,5,1,1,0,1,0,67,5,7,0,55
1400000US18039000400,18039000400,"Census Tract 4, Elkhart County, Indiana",724,4060,641,22,1,2,27,1,8,9,4,0,5,0,17,1,4,1,5,2,2,0,0,2,0,14,3,0,0,11
1400000US18039000501,18039000501,"Census Tract 5.01, Elkhart County, Indiana",2330,3684,2024,101,16,0,63,2,23,20,2,0,16,0,13,0,6,0,0,5,0,1,0,1,0,113,5,1,0,107
1400000US18039000502,18039000502,"Census Tract 5.02, Elkhart County, Indiana",1251,3680,1061,60,2,1,64,3,4,36,0,3,18,0,13,0,8,0,5,0,0,0,0,0,0,50,9,1,1,39
1400000US18039000600,18039000600,"Census Tract 6, Elkhart County, Indiana",614,9077,526,30,7,0,14,0,3,1,0,3,7,0,6,0,0,0,0,0,0,3,0,3,0,31,6,5,0,20
1400000US18039000700,18039000700,"Census Tract 7, Elkhart County, Indiana",740,6185,589,26,1,1,46,0,13,15,0,4,14,0,8,0,0,0,4,1,0,0,0,2,1,69,7,9,0,53
1400000US18039000801,18039000801,"Census Tract 8.01, Elkhart County, Indiana",53,3264,35,9,0,0,1,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,2,0,0,2
1400000US18039000802,18039000802,"Census Tract 8.02, Elkhart County, Indiana",217,8692,148,13,10,0,13,1,5,4,0,0,3,0,11,0,5,0,4,0,0,0,0,2,0,22,5,3,1,13
1400000US18039000900,18039000900,"Census Tract 9, Elkhart County, Indiana",146,7441,100,18,2,0,9,0,7,0,1,0,1,0,5,2,1,0,0,1,0,0,0,1,0,12,1,0,2,9
1400000US18039001000,18039001000,"Census Tract 10, Elkhart County, Indiana",159,4129,107,9,0,0,7,0,4,1,0,2,0,0,15,0,0,0,0,0,0,3,12,0,0,21,7,0,0,14
1400000US18039001100,18039001100,"Census Tract 11, Elkhart County, Indiana",138,4697,86,12,0,0,25,0,4,13,0,6,2,0,2,0,0,0,0,1,1,0,0,0,0,13,6,0,0,7
1400000US18039001200,18039001200,"Census Tract 12, Elkhart County, Indiana",311,4901,268,6,1,0,19,0,4,7,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,16,5,2,0,9
1400000US18039001300,18039001300,"Census Tract 13, Elkhart County, Indiana",401,7200,337,16,1,1,26,1,2,9,0,0,14,0,6,1,0,2,3,0,0,0,0,0,0,14,1,2,0,11
1400000US18039001400,18039001400,"Census Tract 14, Elkhart County, Indiana",391,9040,310,21,2,0,32,0,10,8,0,2,12,0,2,0,0,0,0,0,0,0,0,2,0,24,1,6,0,17
1400000US18039001501,18039001501,"Census Tract 15.01, Elkhart County, Indiana",481,4567,387,20,1,0,33,0,14,7,0,1,10,1,7,0,2,0,4,0,0,0,0,1,0,33,2,0,0,31
1400000US18039001502,18039001502,"Census Tract 15.02, Elkhart County, Indiana",279,5831,205,29,1,0,15,0,2,6,0,0,7,0,8,0,0,3,4,1,0,0,0,0,0,21,3,3,0,15
1400000US18039001601,18039001601,"Census Tract 16.01, Elkhart County, Indiana",687,4156,554,27,0,0,53,0,4,24,0,1,21,3,12,1,4,0,4,0,0,0,1,2,0,41,4,0,0,37
1400000US18039001602,18039001602,"Census Tract 16.02, Elkhart County, Indiana",399,4436,296,29,9,1,31,0,3,17,1,0,10,0,7,0,0,0,1,3,2,0,0,1,0,26,1,1,0,24
1400000US18039001701,18039001701,"Census Tract 17.01, Elkhart County, Indiana",187,3174,112,22,8,2,3,0,1,1,0,0,1,0,6,0,0,0,4,2,0,0,0,0,0,34,3,2,0,29
1400000US18039001702,18039001702,"Census Tract 17.02, Elkhart County, Indiana",994,4245,854,35,3,0,50,0,6,19,11,0,14,0,11,0,0,0,7,1,0,3,0,0,0,41,2,7,0,32
1400000US18039001801,18039001801,"Census Tract 18.01, Elkhart County, Indiana",226,3801,170,17,7,3,13,0,0,1,0,0,12,0,7,0,2,3,0,0,0,2,0,0,0,9,4,0,0,5
1400000US18039001802,18039001802,"Census Tract 18.02, Elkhart County, Indiana",289,5978,197,19,1,0,49,0,6,20,5,0,18,0,5,0,0,0,2,2,0,1,0,0,0,18,0,0,4,14
1400000US18039001901,18039001901,"Census Tract 19.01, Elkhart County, Indiana",1547,5129,1235,65,0,4,148,0,16,83,0,0,49,0,17,0,0,0,0,0,0,4,0,13,0,78,7,2,0,69
1400000US18039001902,18039001902,"Census Tract 19.02, Elkhart County, Indiana",405,3443,309,19,2,2,32,0,10,9,0,0,13,0,18,0,1,0,0,4,0,0,0,13,0,23,0,1,1,21
1400000US18039002000,18039002000,"Census Tract 20, Elkhart County, Indiana",688,6347,527,42,0,5,53,4,7,19,1,4,18,0,21,4,0,0,4,0,0,6,0,7,0,40,0,1,2,37
1400000US18039002101,18039002101,"Census Tract 21.01, Elkhart County, Indiana",542,3516,415,22,1,3,17,0,8,6,0,2,1,0,8,1,3,4,0,0,0,0,0,0,0,76,1,1,0,74
1400000US18039002102,18039002102,"Census Tract 21.02, Elkhart County, Indiana",1607,3594,1319,41,1,0,173,1,11,68,0,0,89,4,12,0,1,0,5,0,0,0,0,1,5,61,4,1,0,56
1400000US18039002200,18039002200,"Census Tract 22, Elkhart County, Indiana",3090,5273,2495,58,0,17,278,0,10,124,4,0,138,2,43,1,8,2,3,11,0,5,0,13,0,199,3,16,0,180
1400000US18039002300,18039002300,"Census Tract 23, Elkhart County, Indiana",539,1865,434,37,4,0,32,0,6,19,2,0,5,0,2,0,0,0,2,0,0,0,0,0,0,30,0,2,0,28
1400000US18039002400,18039002400,"Census Tract 24, Elkhart County, Indiana",441,3745,330,23,3,0,37,0,1,17,0,0,19,0,9,4,2,0,0,2,0,0,0,1,0,39,3,0,0,36
1400000US18039002600,18039002600,"Census Tract 26, Elkhart County, Indiana",1453,3283,1177,53,2,3,103,0,9,57,1,0,36,0,23,2,10,0,2,0,0,9,0,0,0,92,0,6,0,86
1400000US18039002700,18039002700,"Census Tract 27, Elkhart County, Indiana",726,1656,606,46,5,0,32,0,10,1,3,1,17,0,2,0,0,0,1,1,0,0,0,0,0,35,4,1,0,30
1400000US18039002900,18039002900,"Census Tract 29, Elkhart County, Indiana",455,4300,339,34,5,0,39,0,15,7,0,0,15,2,12,2,0,3,0,1,0,2,0,4,0,26,1,0,1,24
1400000US18041954000,18041954000,"Census Tract 9540, Fayette County, Indiana",39,3798,19,4,2,0,3,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,10
1400000US18041954100,18041954100,"Census Tract 9541, Fayette County, Indiana",47,2767,28,4,1,0,1,0,0,0,0,0,1,0,7,0,0,0,0,0,0,3,0,4,0,6,1,0,0,5
