id,pov,pov.m,pov.f,non.pov,non.pov.m,non.pov.f,pov.white,pov.white.m,pov.white.f,non.pov.white,non.pov.white.m,non.pov.white.f,pov.black,pov.black.m,pov.black.f,non.pov.black,non.pov.black.m,non.pov.black.f,pov.native,pov.native.m,pov.native.f,non.pov.native,non.pov.native.m,non.pov.native.f,pov.asian,pov.asian.m,pov.asian.f,non.pov.asian,non.pov.asian.m,non.pov.asian.f,pov.pacific,pov.pacific.m,pov.pacific.f,non.pov.pacific,non.pov.pacific.m,non.pov.pacific.f,pov.other,pov.other.m,pov.other.f,non.pov.other,non.pov.other.m,non.pov.other.f,pov.mixed,pov.mixed.m,pov.mixed.f,non.pov.mixed,non.pov.mixed.m,non.pov.mixed.f,pov.whitenonhisp,pov.whitenonhisp.m,pov.whitenonhisp.f,non.pov.whitenonhisp,non.pov.whitenonhisp.m,non.pov.whitenonhisp.f,pov.hisp,pov.hisp.m,pov.hisp.f,non.pov.hisp,non.pov.hisp.m,non.pov.hisp.f
18003002000,783,381,402,1966,1095,871,459,249,210,1290,767,523,165,64,101,398,200,198,50,50,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,69,18,51,139,76,63,40,0,40,110,23,87,396,226,170,989,517,472,172,41,131,489,326,163
18003002100,857,287,570,1423,760,663,348,93,255,990,521,469,318,131,187,126,85,41,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,171,54,117,263,148,115,20,9,11,30,6,24,295,74,221,978,509,469,235,73,162,275,160,115
18003002200,743,409,334,3386,1706,1680,180,98,82,2678,1427,1251,201,135,66,395,159,236,0,0,0,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,221,122,99,236,98,138,141,54,87,60,14,46,180,98,82,2343,1266,1077,310,148,162,645,291,354
18003002300,1693,782,911,3557,1642,1915,891,325,566,1270,672,598,669,392,277,2103,834,1269,0,0,0,11,11,0,0,0,0,79,59,20,0,0,0,0,0,0,108,65,43,49,36,13,25,0,25,45,30,15,561,241,320,1036,538,498,463,149,314,283,170,113
18003002500,470,222,248,3188,1546,1642,283,127,156,2605,1211,1394,108,75,33,405,212,193,0,0,0,0,0,0,13,0,13,11,11,0,0,0,0,0,0,0,0,0,0,78,61,17,66,20,46,89,51,38,272,127,145,2509,1161,1348,11,0,11,174,111,63
18003002600,549,254,295,2714,1348,1366,256,118,138,1531,716,815,104,57,47,550,383,167,0,0,0,0,0,0,67,49,18,0,0,0,0,0,0,0,0,0,52,10,42,568,205,363,70,20,50,65,44,21,243,105,138,1404,625,779,117,57,60,749,340,409
18003002800,986,376,610,1206,530,676,179,73,106,454,168,286,682,251,431,647,276,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,52,73,45,45,0,0,0,0,60,41,19,90,22,68,140,19,121,214,103,111,386,221,165
18003002900,1059,533,526,1185,643,542,449,240,209,115,48,67,515,247,268,678,364,314,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,68,28,40,369,230,139,27,18,9,15,1,14,394,211,183,81,22,59,123,57,66,406,258,148
18003003000,1827,638,1189,2330,1208,1122,294,65,229,586,300,286,1437,533,904,1389,660,729,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,73,52,21,44,18,26,259,186,73,52,22,30,10,10,0,203,47,156,333,177,156,135,36,99,525,309,216
18003003100,1108,554,554,1455,747,708,357,155,202,716,402,314,751,399,352,551,270,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,65,37,0,0,0,86,10,76,271,117,154,520,248,272,86,38,48,298,219,79
18003003200,568,93,475,4649,2224,2425,236,42,194,3682,1787,1895,213,11,202,615,318,297,0,0,0,0,0,0,87,21,66,179,78,101,0,0,0,0,0,0,0,0,0,0,0,0,32,19,13,173,41,132,236,42,194,3631,1770,1861,0,0,0,81,17,64
18003003301,385,174,211,2414,1166,1248,379,174,205,2199,1122,1077,6,0,6,43,0,43,0,0,0,24,0,24,0,0,0,54,13,41,0,0,0,0,0,0,0,0,0,67,21,46,0,0,0,27,10,17,379,174,205,2156,1079,1077,0,0,0,134,64,70
18003003304,691,364,327,3742,2020,1722,477,227,250,2884,1404,1480,165,100,65,372,210,162,0,0,0,13,0,13,5,5,0,244,212,32,0,0,0,0,0,0,0,0,0,91,79,12,44,32,12,138,115,23,465,215,250,2720,1354,1366,24,12,12,321,195,126
18003003400,374,147,227,3679,1872,1807,363,147,216,3226,1606,1620,11,0,11,239,143,96,0,0,0,14,14,0,0,0,0,28,8,20,0,0,0,0,0,0,0,0,0,29,14,15,0,0,0,143,87,56,340,135,205,3132,1545,1587,23,12,11,123,75,48
18003003500,761,353,408,2703,1035,1668,378,159,219,2173,851,1322,239,103,136,171,59,112,13,13,0,0,0,0,119,66,53,224,75,149,0,0,0,0,0,0,12,12,0,28,28,0,0,0,0,107,22,85,378,159,219,2095,815,1280,12,12,0,106,64,42
18003003600,764,235,529,5563,2681,2882,272,75,197,2206,1089,1117,365,150,215,2681,1256,1425,9,0,9,0,0,0,95,0,95,0,0,0,0,0,0,17,17,0,10,10,0,380,180,200,13,0,13,279,139,140,216,75,141,1988,1048,940,161,10,151,598,221,377
18003003700,296,122,174,2238,1032,1206,247,122,125,2070,976,1094,35,0,35,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,53,19,34,0,0,0,99,37,62,140,56,84,1950,915,1035,107,66,41,222,98,124
18003003800,983,458,525,2070,1172,898,574,269,305,1897,1049,848,375,179,196,108,69,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,11,47,47,0,13,0,13,18,7,11,532,247,285,1820,972,848,42,22,20,124,124,0
18003003901,404,164,240,3038,1420,1618,404,164,240,2768,1315,1453,0,0,0,105,59,46,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,92,46,46,0,0,0,57,0,57,387,147,240,2709,1289,1420,17,17,0,151,72,79
18003003902,180,53,127,2599,1262,1337,105,48,57,1798,983,815,70,0,70,701,216,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,22,32,5,5,0,46,41,5,105,48,57,1574,822,752,0,0,0,278,183,95
18003004000,631,315,316,2616,1258,1358,240,121,119,752,383,369,391,194,197,1704,750,954,0,0,0,6,6,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,76,56,20,112,37,75,466,236,230,128,84,44,349,210,139
18003004101,187,68,119,2040,902,1138,94,36,58,1770,797,973,79,32,47,91,46,45,0,0,0,100,52,48,14,0,14,79,7,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,36,58,1715,774,941,0,0,0,55,23,32
18003004103,969,552,417,3936,1915,2021,834,464,370,2926,1343,1583,31,0,31,222,104,118,0,0,0,39,26,13,16,0,16,321,170,151,0,0,0,0,0,0,70,70,0,126,97,29,18,18,0,302,175,127,821,464,357,2926,1343,1583,83,70,13,80,51,29
18003004300,584,222,362,1590,715,875,206,126,80,443,206,237,355,88,267,785,340,445,7,0,7,0,0,0,0,0,0,64,15,49,0,0,0,0,0,0,0,0,0,197,108,89,16,8,8,101,46,55,111,82,29,443,206,237,111,52,59,239,138,101
18003004400,1211,478,733,1751,926,825,94,41,53,499,212,287,916,381,535,858,464,394,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,355,223,132,192,47,145,33,21,12,70,30,40,122,44,78,68,20,48,732,391,341
18003010100,292,91,201,4467,2300,2167,286,91,195,4385,2258,2127,0,0,0,37,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,6,0,6,37,16,21,286,91,195,4385,2258,2127,0,0,0,38,24,14
18003010201,199,85,114,6416,3176,3240,199,85,114,6271,3111,3160,0,0,0,39,32,7,0,0,0,0,0,0,0,0,0,69,25,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,8,29,180,66,114,6237,3091,3146,19,19,0,34,20,14
18003010202,189,104,85,5221,2638,2583,154,90,64,5079,2578,2501,0,0,0,34,17,17,0,0,0,33,15,18,0,0,0,44,0,44,0,0,0,0,0,0,35,14,21,6,3,3,0,0,0,25,25,0,154,90,64,5079,2578,2501,35,14,21,6,3,3
18003010304,154,69,85,6076,2836,3240,143,69,74,5853,2680,3173,11,0,11,95,95,0,0,0,0,0,0,0,0,0,0,102,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,12,143,69,74,5809,2668,3141,0,0,0,44,12,32
18003010305,148,80,68,6044,3060,2984,148,80,68,5689,2852,2837,0,0,0,67,33,34,0,0,0,38,17,21,0,0,0,134,96,38,0,0,0,0,0,0,0,0,0,67,36,31,0,0,0,49,26,23,23,23,0,5595,2809,2786,125,57,68,190,96,94
18003010306,136,60,76,3999,1959,2040,136,60,76,3885,1876,2009,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,74,43,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,136,60,76,3840,1868,1972,0,0,0,45,8,37
